Tempo (s);  Valore Fotoresistenza
1.62;       839.00
1.69;       839.00
1.81;       839.00
1.89;       839.00
1.97;       839.00
2.09;       839.00
2.22;       839.00
2.28;       839.00
2.34;       839.00
2.46;       839.00
2.57;       839.00
2.64;       839.00
2.75;       839.00
2.81;       839.00
2.92;       839.00
3.04;       837.00
3.12;       835.00
3.18;       835.00
3.34;       835.00
3.41;       835.00
3.48;       835.00
3.61;       835.00
3.68;       837.00
3.74;       839.00
3.87;       839.00
3.93;       839.00
4.06;       839.00
4.12;       839.00
4.28;       839.00
4.36;       839.00
4.44;       839.00
4.51;       839.00
4.64;       839.00
4.71;       839.00
4.79;       839.00
4.87;       839.00
5.03;       839.00
5.11;       839.00
5.19;       839.00
5.26;       839.00
5.34;       839.00
5.48;       839.00
5.55;       839.00
5.63;       839.00
5.76;       839.00
5.81;       839.00
5.92;       839.00
6.00;       839.00
6.11;       839.00
6.22;       839.00
6.28;       839.00
6.39;       839.00
6.51;       839.00
6.56;       839.00
6.68;       839.00
6.79;       839.00
6.85;       839.00
6.96;       839.00
7.02;       839.00
7.14;       839.00
7.25;       839.00
7.31;       839.00
7.43;       839.00
7.54;       839.00
7.60;       839.00
7.72;       839.00
7.78;       839.00
7.90;       839.00
8.02;       839.00
8.08;       839.00
8.20;       839.00
8.25;       839.00
8.38;       839.00
8.44;       839.00
8.55;       839.00
8.67;       839.00
8.74;       839.00
8.86;       839.00
8.92;       839.00
9.00;       839.00
9.12;       839.00
9.18;       839.00
9.31;       839.00
9.37;       839.00
9.49;       839.00
9.55;       839.00
9.68;       839.00
9.74;       839.00
9.86;       839.00
9.98;       839.00
10.03;       839.00
10.15;       839.00
10.26;       839.00
10.32;       839.00
10.43;       839.00
10.54;       839.00
10.60;       839.00
10.71;       839.00
10.82;       839.00
10.88;       839.00
10.99;       839.00
11.11;       839.00
11.16;       839.00
11.28;       839.00
11.33;       839.00
11.45;       839.00
11.56;       839.00
11.62;       839.00
11.74;       839.00
11.85;       839.00
11.90;       839.00
12.04;       839.00
12.09;       839.00
12.21;       839.00
12.32;       839.00
12.38;       839.00
12.49;       839.00
12.60;       839.00
12.66;       839.00
12.77;       839.00
12.88;       839.00
12.94;       839.00
13.05;       839.00
13.16;       839.00
13.22;       839.00
13.34;       839.00
13.40;       839.00
13.52;       839.00
13.64;       839.00
13.70;       839.00
13.81;       839.00
13.88;       839.00
14.00;       839.00
14.06;       839.00
14.19;       839.00
14.25;       839.00
14.38;       839.00
14.46;       839.00
14.52;       839.00
14.65;       839.00
14.72;       839.00
14.84;       839.00
14.90;       839.00
15.03;       839.00
15.10;       836.00
15.23;       836.00
15.28;       836.00
15.45;       836.00
15.52;       836.00
15.58;       836.00
15.70;       836.00
15.75;       836.00
15.87;       839.00
15.95;       839.00
16.04;       839.00
16.15;       839.00
16.21;       839.00
16.34;       839.00
16.40;       839.00
16.52;       839.00
16.58;       839.00
16.70;       839.00
16.82;       839.00
16.87;       839.00
17.01;       839.00
17.07;       839.00
17.15;       839.00
17.30;       839.00
17.36;       839.00
17.48;       839.00
17.53;       839.00
17.66;       839.00
17.72;       839.00
17.82;       839.00
17.96;       839.00
18.03;       839.00
18.12;       839.00
18.19;       839.00
18.31;       839.00
18.37;       839.00
18.56;       839.00
18.63;       839.00
18.70;       839.00
18.76;       839.00
18.91;       839.00
18.97;       839.00
19.03;       839.00
19.16;       839.00
19.22;       839.00
19.34;       839.00
19.40;       839.00
19.52;       839.00
19.58;       839.00
19.71;       839.00
19.78;       839.00
19.90;       839.00
20.05;       839.00
20.23;       839.00
20.29;       839.00
20.35;       839.00
20.41;       839.00
20.49;       839.00
20.55;       839.00
20.66;       839.00
20.72;       839.00
20.86;       839.00
20.92;       839.00
21.05;       839.00
21.11;       839.00
21.22;       839.00
21.28;       839.00
21.40;       839.00
21.52;       839.00
21.60;       839.00
21.66;       839.00
21.79;       839.00
21.85;       839.00
21.99;       839.00
