Tempo (s);  Valore Fotoresistenza
1.51;       839.00
1.63;       839.00
1.69;       839.00
1.80;       839.00
1.87;       839.00
1.99;       839.00
2.06;       839.00
2.18;       839.00
2.25;       839.00
2.37;       839.00
2.44;       839.00
2.57;       839.00
2.64;       839.00
2.71;       839.00
2.84;       839.00
2.90;       839.00
3.02;       839.00
3.08;       839.00
3.25;       839.00
3.35;       839.00
3.41;       837.00
3.47;       835.00
3.57;       835.00
3.71;       835.00
3.79;       835.00
3.86;       837.00
3.99;       839.00
4.05;       839.00
4.12;       839.00
4.25;       839.00
4.31;       839.00
4.42;       839.00
4.54;       839.00
4.60;       839.00
4.72;       839.00
4.77;       839.00
4.90;       839.00
5.01;       839.00
5.07;       839.00
5.20;       839.00
5.26;       839.00
5.40;       839.00
5.47;       839.00
5.53;       839.00
5.67;       839.00
5.73;       839.00
5.80;       839.00
5.92;       839.00
6.03;       839.00
6.09;       839.00
6.24;       839.00
6.30;       839.00
6.38;       839.00
6.50;       839.00
6.56;       839.00
6.67;       839.00
6.78;       839.00
6.84;       839.00
6.95;       839.00
7.07;       839.00
7.12;       839.00
7.24;       839.00
7.35;       839.00
7.41;       839.00
7.53;       839.00
7.64;       839.00
7.70;       839.00
7.81;       839.00
7.87;       839.00
7.99;       839.00
8.10;       839.00
8.16;       839.00
8.24;       839.00
8.36;       839.00
8.48;       839.00
8.54;       839.00
8.65;       839.00
8.71;       839.00
8.83;       839.00
8.95;       839.00
9.01;       839.00
9.13;       839.00
9.19;       839.00
9.31;       839.00
9.37;       839.00
9.49;       839.00
9.61;       839.00
9.67;       839.00
9.79;       839.00
9.86;       839.00
9.97;       839.00
10.03;       839.00
10.15;       839.00
10.26;       839.00
10.32;       839.00
10.43;       839.00
10.54;       839.00
10.60;       839.00
10.72;       839.00
10.77;       839.00
10.89;       839.00
11.00;       839.00
11.05;       839.00
11.17;       839.00
11.24;       839.00
11.35;       839.00
11.47;       839.00
11.52;       839.00
11.63;       839.00
11.75;       839.00
11.80;       839.00
11.92;       839.00
12.03;       839.00
12.09;       839.00
12.20;       839.00
12.32;       839.00
12.38;       839.00
12.49;       837.00
12.60;       837.00
12.66;       837.00
12.77;       835.00
12.88;       835.00
12.94;       835.00
13.05;       835.00
13.16;       835.00
13.22;       837.00
13.33;       837.00
13.46;       839.00
13.52;       839.00
13.63;       839.00
13.69;       839.00
13.80;       839.00
13.92;       839.00
13.98;       839.00
14.11;       839.00
14.16;       839.00
14.28;       839.00
14.39;       839.00
14.45;       839.00
14.56;       839.00
14.67;       839.00
14.73;       839.00
14.84;       839.00
14.90;       839.00
15.01;       839.00
15.12;       839.00
15.18;       839.00
15.30;       839.00
15.37;       839.00
15.49;       839.00
15.60;       839.00
15.66;       836.00
15.78;       836.00
15.89;       836.00
15.95;       836.00
16.06;       836.00
16.12;       836.00
16.23;       839.00
16.36;       839.00
16.41;       839.00
16.52;       839.00
16.64;       839.00
16.69;       839.00
16.80;       839.00
16.92;       839.00
16.97;       839.00
17.08;       839.00
17.20;       839.00
17.25;       839.00
17.38;       839.00
17.44;       839.00
17.55;       839.00
17.66;       839.00
17.72;       839.00
17.83;       839.00
17.95;       839.00
18.01;       839.00
18.12;       839.00
18.23;       839.00
18.29;       839.00
18.40;       839.00
18.51;       839.00
18.57;       839.00
18.68;       839.00
18.79;       839.00
18.85;       839.00
18.96;       839.00
19.08;       839.00
19.13;       839.00
19.24;       839.00
19.36;       839.00
19.41;       839.00
19.53;       839.00
19.64;       839.00
19.70;       839.00
19.81;       839.00
19.92;       839.00
19.98;       839.00
20.09;       839.00
20.22;       839.00
20.28;       839.00
20.39;       839.00
